sku,name,brand,price,price_text
040002205,FUJIDA GEAR OIL 90EP-18L,FUJIDA,96.3303,$96.3303
0400022051,FUJIDA GEAR OIL 140EP-18L,FUJIDA,111.1111,$111.1111
0400022052,FUJIDA GEAR OIL 140EP-5L,FUJIDA,36.5741,$36.5741
0400022053,FUJIDA GEAR OIL 140EP-1L,FUJIDA,10.6481,$10.6481
040002206,FUJIDA SUPER 2T-18L,FUJIDA,87.9630,$87.9630
040002207,FUJIDA HYDROLIC AWS32-1GAL,FUJIDA,21.7593,$21.7593
040002208,FUJIDA HEAVY DUTY GREASE [BLUE] -2KG,FUJIDA,24.0278,$24.0278
040002209,FUJIDA HEAVY DUTY GREASE-15KG,FUJIDA,82.8704,$82.8704
040002210,FUJIDA PETROLEUM JELLY-500GM,FUJIDA,18.2110,$18.2110
0400022101,FUJIDA PETROLEUM JELLY 1KG,FUJIDA,40.0000,$40.0000
0400022103,FUJIDA PETROLUEM JELLY 15KG,FUJIDA,465.0000,$465.0000
040002211,FUJIDA BRAKE OIL-1L,FUJIDA,8.0374,$8.0374
0400022111,FUJIDA BREAKER GREASE-500GM,FUJIDA,11.7890,$11.7890
040002212,FUJIDA BREAKER GREASE-2KG,FUJIDA,33.0275,$33.0275
040002213,FUJIDA BRAKE OIL-18L,FUJIDA,120.0000,$120.0000
040002214,FUJIDA HIGH PRESSURE OIL-1L  (ALMORA RD15),FUJIDA,17.8899,$17.8899
040002215,FUJIDA ATF FLUID-1L  CLUTCH TRANSMISSION FLUID,FUJIDA,12.5000,$12.5000
040002216,FUJIDA SM OIL-50ML,FUJIDA,2.6852,$2.6852
040002217,FUJIDA TECHNICAL WHITE OIL 18L,FUJIDA,150.0000,$150.0000
040002221,FUJIDA THREADING OIL PH68 - 3.5L,FUJIDA,33.0275,$33.0275
040002222,FUJIDA THREADING OIL PH68 - 18L,FUJIDA,137.5000,$137.5000
040002223,FUJIDA THREADING OIL PH68 - 200L,FUJIDA,1300.0000,"$1,300.0000"
040002225,FUJIDA E CUT EP COOLANT OIL 3.5L,FUJIDA,30.0000,$30.0000
040002227,FUJIDA E CUT EP COOLANT OIL 18L,FUJIDA,105.0000,$105.0000
040002231,FUJIDA AIR COMPRESSOR OIL RC68 1GAL,FUJIDA,28.0000,$28.0000
040002234,FUJIDA ENGINE OIL HD30 -18L,FUJIDA,62.0000,$62.0000
040002235,FUJIDA ENGINE OIL HD40 -18L,FUJIDA,55.0000,$55.0000
040002241,FUJIDA CHAIN LUBE 1L,FUJIDA,20.0000,$20.0000
040002251,FUJIDA SECTRID OIL BASED 4L ( FOGGING SOLUTION ) FC904,FUJIDA,45.0000,$45.0000
040002281,MIKOM 2T OIL FOR BLOWER 1L,NO BRAND,6.0000,$6.0000
040002286,ELF AUTO TRANSMISSION OIL 18LTR,NO BRAND,100.0000,$100.0000
040002301,MULTI PURPOSE HAND CLEANER 5L,NO BRAND,14.0187,$14.0187
040002305,MULTI PURPOSE CONCENTRATED CLEANER,NO BRAND,4.5794,$4.5794
