name,price,category,db_category_code,url
"SAFETY JOGGER SHOE BESTRUN, BLACK [S3]",33.5,Safety Shoes & Boots,21,product.aspx?id=5432
"SAFETY JOGGER BREATHABLE COMFORT SAFETY SHOE YUKON, BLACK [S1P ESD]",45.9,Safety Shoes & Boots,21,product.aspx?id=18384
"SAFETY JOGGER HERCULES PVC BOOTS STEEL TOE CAP & MID-SOLE, BLACK [S5]",29.85,Safety Shoes & Boots,21,product.aspx?id=14410
"SAFETY JOGGER SHOE ECOFITZ S1P, BLACK [S1P ESD]",55.85,Safety Shoes & Boots,21,product.aspx?id=16623
"SAFETY JOGGER LADY MID-CUT SHOE BOTANIC, GREY [S1P]",62.85,Safety Shoes & Boots,21,product.aspx?id=14115
SAFETY JOGGER PULL UP LEATHER SHOE ALASKA C PRO [S3],87.2,Safety Shoes & Boots,21,product.aspx?id=17166
SAFETY JOGGER SHOE BALIRUGER S3 [S3],43.6,Safety Shoes & Boots,21,product.aspx?id=19076
"SAFETY JOGGER SHOE BESTZIP, BROWN [S3]",50.97,Safety Shoes & Boots,21,product.aspx?id=15506
"SAFETY JOGGER SHOE DAKAR, BROWN [S3]",69.85,Safety Shoes & Boots,21,product.aspx?id=6876
PVC SAFETY BOOTS WITH TOE CAP & MIDSOLE,13.63,Safety Shoes & Boots,21,product.aspx?id=3653
NITTI SAFETY SHOE LOW CUT WITH SHOE LACE 21281 [S1P SRC],48.34,Safety Shoes & Boots,21,product.aspx?id=200
"SAFETY JOGGER LIGHTWEIGHT SHOE LIGERO, BLACK [S1P ESD]",122.63,Safety Shoes & Boots,21,product.aspx?id=12681
"SAFETY JOGGER SHOE CERRO S3 MID ALUM TOE CAP, SAND [S3 ESD]",119.5,Safety Shoes & Boots,21,product.aspx?id=16171
"SAFETY JOGGER SHOE ALTAR S3 MID, CAMEL [S3S ESD]",149.85,Safety Shoes & Boots,21,product.aspx?id=16170
"SAFETY JOGGER SHOE CADOR S3 MID TLS, BLACK [S3 ESD]",89.85,Safety Shoes & Boots,21,product.aspx?id=15850
"SAFETY JOGGER LIGHTWEIGHT SHOE AAK S1P, BLACK [S1PS ESD]",58.75,Safety Shoes & Boots,21,product.aspx?id=19277
"SAFETY JOGGER TACTICAL WATERPROOF SHOE TROOPER, BLACK [S3]",163.5,Safety Shoes & Boots,21,product.aspx?id=13231
SAFETY JOGGER SHOE MAGO S3 MID SRC HRO [S3],95.0,Safety Shoes & Boots,21,product.aspx?id=17193
"SAFETY JOGGER BREATHABLE COMFORT SAFETY SHOE YUKON, NAVY [S1P ESD]",45.9,Safety Shoes & Boots,21,product.aspx?id=14114
"SAFETY JOGGER SHOE CADOR, BLUE [S1P ESD]",50.97,Safety Shoes & Boots,21,product.aspx?id=15301
"SAFETY JOGGER SHOE LABOR, BLACK [S3]",50.97,Safety Shoes & Boots,21,product.aspx?id=14411
"SAFETY JOGGER SHOE GUSTO, WHITE [S2]",57.8,Safety Shoes & Boots,21,product.aspx?id=11116
"SAFETY JOGGER SHOE DAKAR, BLACK [S3]",69.85,Safety Shoes & Boots,21,product.aspx?id=13044
"SAFETY JOGGER SHOE RUSH (WITH ZIPPER), BROWN [S3]",89.85,Safety Shoes & Boots,21,product.aspx?id=10544
"SAFETY JOGGER SHOE DESERT, NAVY [S1P]",55.0,Safety Shoes & Boots,21,product.aspx?id=13230
"SAFETY JOGGER LADY SHOE ORGANIC S1P LOW, BLACK [S1P]",59.95,Safety Shoes & Boots,21,product.aspx?id=20619
"SAFETY JOGGER LADY MID-CUT SHOE BOTANIC S1P MID, BLACK [S1P]",64.85,Safety Shoes & Boots,21,product.aspx?id=20620
"SAFETY JOGGER LADY SHOE BESTKNIT S1P, LIGHT BLUE [S1P]",59.3,Safety Shoes & Boots,21,product.aspx?id=20621
"SAFETY JOGGER SHOE BESTRUN, BLACK [S3]",33.5,Safety Shoes & Boots,21,product.aspx?id=5432
"SAFETY JOGGER BREATHABLE COMFORT SAFETY SHOE YUKON, BLACK [S1P ESD]",45.9,Safety Shoes & Boots,21,product.aspx?id=18384
"SAFETY JOGGER HERCULES PVC BOOTS STEEL TOE CAP & MID-SOLE, BLACK [S5]",29.85,Safety Shoes & Boots,21,product.aspx?id=14410
"SAFETY JOGGER SHOE ECOFITZ S1P, BLACK [S1P ESD]",55.85,Safety Shoes & Boots,21,product.aspx?id=16623
"SAFETY JOGGER LADY MID-CUT SHOE BOTANIC, GREY [S1P]",62.85,Safety Shoes & Boots,21,product.aspx?id=14115
SAFETY JOGGER PULL UP LEATHER SHOE ALASKA C PRO [S3],87.2,Safety Shoes & Boots,21,product.aspx?id=17166
SAFETY JOGGER SHOE BALIRUGER S3 [S3],43.6,Safety Shoes & Boots,21,product.aspx?id=19076
"SAFETY JOGGER SHOE BESTZIP, BROWN [S3]",50.97,Safety Shoes & Boots,21,product.aspx?id=15506
"SAFETY JOGGER SHOE DAKAR, BROWN [S3]",69.85,Safety Shoes & Boots,21,product.aspx?id=6876
PVC SAFETY BOOTS WITH TOE CAP & MIDSOLE,13.63,Safety Shoes & Boots,21,product.aspx?id=3653
NITTI SAFETY SHOE LOW CUT WITH SHOE LACE 21281 [S1P SRC],48.34,Safety Shoes & Boots,21,product.aspx?id=200
"SAFETY JOGGER LIGHTWEIGHT SHOE LIGERO, BLACK [S1P ESD]",122.63,Safety Shoes & Boots,21,product.aspx?id=12681
"SAFETY JOGGER SHOE CERRO S3 MID ALUM TOE CAP, SAND [S3 ESD]",119.5,Safety Shoes & Boots,21,product.aspx?id=16171
"SAFETY JOGGER SHOE ALTAR S3 MID, CAMEL [S3S ESD]",149.85,Safety Shoes & Boots,21,product.aspx?id=16170
"SAFETY JOGGER SHOE CADOR S3 MID TLS, BLACK [S3 ESD]",89.85,Safety Shoes & Boots,21,product.aspx?id=15850
"SAFETY JOGGER LIGHTWEIGHT SHOE AAK S1P, BLACK [S1PS ESD]",58.75,Safety Shoes & Boots,21,product.aspx?id=19277
"SAFETY JOGGER TACTICAL WATERPROOF SHOE TROOPER, BLACK [S3]",163.5,Safety Shoes & Boots,21,product.aspx?id=13231
SAFETY JOGGER SHOE MAGO S3 MID SRC HRO [S3],95.0,Safety Shoes & Boots,21,product.aspx?id=17193
"SAFETY JOGGER BREATHABLE COMFORT SAFETY SHOE YUKON, NAVY [S1P ESD]",45.9,Safety Shoes & Boots,21,product.aspx?id=14114
"SAFETY JOGGER SHOE CADOR, BLUE [S1P ESD]",50.97,Safety Shoes & Boots,21,product.aspx?id=15301
"SAFETY JOGGER SHOE LABOR, BLACK [S3]",50.97,Safety Shoes & Boots,21,product.aspx?id=14411
"SAFETY JOGGER SHOE GUSTO, WHITE [S2]",57.8,Safety Shoes & Boots,21,product.aspx?id=11116
"SAFETY JOGGER SHOE DAKAR, BLACK [S3]",69.85,Safety Shoes & Boots,21,product.aspx?id=13044
"SAFETY JOGGER SHOE RUSH (WITH ZIPPER), BROWN [S3]",89.85,Safety Shoes & Boots,21,product.aspx?id=10544
"SAFETY JOGGER SHOE DESERT, NAVY [S1P]",55.0,Safety Shoes & Boots,21,product.aspx?id=13230
"SAFETY JOGGER LADY SHOE ORGANIC S1P LOW, BLACK [S1P]",59.95,Safety Shoes & Boots,21,product.aspx?id=20619
"SAFETY JOGGER LADY MID-CUT SHOE BOTANIC S1P MID, BLACK [S1P]",64.85,Safety Shoes & Boots,21,product.aspx?id=20620
"SAFETY JOGGER LADY SHOE BESTKNIT S1P, LIGHT BLUE [S1P]",59.3,Safety Shoes & Boots,21,product.aspx?id=20621
"SAFETY JOGGER SHOE BESTRUN, BLACK [S3]",33.5,Safety Shoes & Boots,21,product.aspx?id=5432
"SAFETY JOGGER BREATHABLE COMFORT SAFETY SHOE YUKON, BLACK [S1P ESD]",45.9,Safety Shoes & Boots,21,product.aspx?id=18384
"SAFETY JOGGER HERCULES PVC BOOTS STEEL TOE CAP & MID-SOLE, BLACK [S5]",29.85,Safety Shoes & Boots,21,product.aspx?id=14410
"SAFETY JOGGER SHOE ECOFITZ S1P, BLACK [S1P ESD]",55.85,Safety Shoes & Boots,21,product.aspx?id=16623
"SAFETY JOGGER LADY MID-CUT SHOE BOTANIC, GREY [S1P]",62.85,Safety Shoes & Boots,21,product.aspx?id=14115
